store,websites,sku,mpn,name,price,msrp,height,weight,width,color,categories,finish,image,depth,length,measurements,ebay_title,inside_dimensions,product_collection,extension,volts,btu,number_of_body_sprays,number_of_handles,handshower_included,ada_compliant,gallons_per_flush,bowl_depth,bowl_sizes,lever_placement,installation_type,mirror_included,magnifying,frame,mirror_height,number_of_shelves,number_of_holes,breaker,hp_pump,water_capacity,water_depth,drain_placement,number_of_jets,shape,bed_size,number_type,seat_height,seat_width,fabric_content_leather_grade,faucet_holes,faucet_included,basin_shape,sink_material,sink_color,shelf_included,number_of_basins,number_of_doors,number_of_drawers,number_of_sinks,sink_gauge,sink_type,blower_type,energy_star_compliant,max_cfm,mounting_type,timer,threshold,door_type,frame_type,glass_type,drain_included,sink_included,lead_compliant,spout_height,spout_reach,valve_type,bulb_type,shade_material,safety_rating,light_direction,number_of_lights,wattage,description_import,bullet_1,bullet_2,bullet_3,bullet_4,bullet_5,bullet_6,bullet_7,bullet_8,bullet_9,bullet_10,care_instructions,number_of_chairs_stools,assembly_required,manual,specs,base_material,top_material,vanity_top_included,vanity_base_width,warranty,warranty_link,care_link,material,style,ships_within,upc,url_key,meta_title,meta_description,description,short_description,status,visibility,tax_class_id,type,attribute_set,manufacturer,qty,_media_attribute_id,_media_image,thumbnail,small_image,_media_lable,_media_position,_media_is_disabled,options_container,is_in_stock,amconf_simple_price,has_options,color1,size,associated,config_attributes
admin,base,TOV-TOV-B55B-C-250-FL,TOV-B55B-C-250-FL,TOV Furniture Amherst Beige Linen Full Bed,540.48,1175,,107,,,Furniture/Bedroom Furniture/Beds,,/TOV-B55B-C-250-FL.jpg,,,Overall: 60.63&#34;W x 81.1&#34;D x 47&#34;H,TOV Furniture TOV-B55B-C-250-FL Amherst Beige Linen Full Bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Linen,,10 Business Days,7.52423E+11,TOV Furniture TOV-B55B-C-250-FL Amherst Beige Linen Full Bed,TOV Furniture TOV-B55B-C-250-FL Amherst Beige Linen Full Bed,TOV Furniture TOV-B55B-C-250-FL Amherst Beige Linen Full Bed,"<p>With a sophisticated design that is both refined and relaxed, this platform bed will help turn your bedroom into the peaceful retreat it should be. From the beautiful beige fabric to the tall, curved headboard with silvertone nail head accents, sweet dreams will come quickly and effortlessly. The bed is constructed with a wooden outer frame, foam padding, and black wooden legs with non-marking feet. Slats are included with a black-coated steel frame - a box spring is not needed.</p><p>Leg Material: Birch</p><p>Hand-applied silver nail head trim</p><p>Beige linen blend upholstery</p><p>Contemporary design</p><p>Black stained legs</p><p>Bed available in Full, Queen and King</p><p>No box spring required</p><p>Assembly required</p><p>Can be used for commercial or residential use</p><p>One year manufacturer&#39;s warranty</p><p><p>Full: 60.63&#34;W x 81.1&#34;D x 47&#34;H</p><p>Queen: 67&#34;W x 86&#34;D x 47&#34;H <br />Queen Headboard: 67&#34;W x 4.3&#34;D x 52&#34;H <br />Queen Footboard: 67&#34;W x 4.3&#34;D x 6.3&#34;H <br />Queen Rails: 82&#34;W x 3.15&#34;D x 6.3&#34;H <br />Queen Slats: 80&#34;W x 60&#34;D</p><p>King: 82&#34;W x 86&#34;D x 47&#34;H <br />King Headboard: 82&#34;W x 4.3&#34;D x 48&#34;H <br />King Footboard: 82&#34;W x 4.3&#34;D x 6.3&#34;H <br />King Rails: 82&#34;W x 3.15&#34;D x 6.3&#34;H <br />King Slats: 80&#34;W x 76&#34;D</p></p>",TOV Furniture TOV-B55B-C-250-FL Amherst Beige Linen Full Bed,Enabled,Not Visible Individually,None,simple,Default,TOV Furniture,100,88,/TOV-B55B-C-250-FL.jpg,/TOV-B55B-C-250-FL.jpg,/TOV-B55B-C-250-FL.jpg,TOV Furniture TOV-B55B-C-250-FL Amherst Beige Linen Full Bed,1,0,Block after Info Column,1,,0,,Full,,size
admin,base,TOV-TOV-B55B-C-250-KG,TOV-B55B-C-250-KG,TOV Furniture Amherst Beige Linen King Bed,696.99,1295,,142.5,,,Furniture/Bedroom Furniture/Beds,,/TOV-B55B-C-250-KG.jpg,,,Overall: 82&#34;W x 86&#34;D x 47&#34;H <br /> Headboard: 82&#34;W x 4.3&#34;D x 48&#34;H <br /> Footboard: 82&#34;W x 4.3&#34;D x 6.3&#34;H <br /> Rails: 82&#34;W x 3.15&#34;D x 6.3&#34;H <br /> Slats: 80&#34;W x 76&#34;D,TOV Furniture TOV-B55B-C-250-KG Amherst Beige Linen King Bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Linen,,10 Business Days,7.52423E+11,TOV Furniture TOV-B55B-C-250-KG Amherst Beige Linen King Bed,TOV Furniture TOV-B55B-C-250-KG Amherst Beige Linen King Bed,TOV Furniture TOV-B55B-C-250-KG Amherst Beige Linen King Bed,"<p>With a sophisticated design that is both refined and relaxed, this platform bed will help turn your bedroom into the peaceful retreat it should be. From the beautiful beige fabric to the tall, curved headboard with silvertone nail head accents, sweet dreams will come quickly and effortlessly. The bed is constructed with a wooden outer frame, foam padding, and black wooden legs with non-marking feet. Slats are included with a black-coated steel frame - a box spring is not needed.</p><p>Leg Material: Birch</p><p>Hand-applied silver nail head trim</p><p>Beige linen blend upholstery</p><p>Contemporary design</p><p>Black stained legs</p><p>Bed available in Full, Queen and King</p><p>No box spring required</p><p>Assembly required</p><p>Can be used for commercial or residential use</p><p>One year manufacturer&#39;s warranty</p><p><p>Full: 60.63&#34;W x 81.1&#34;D x 47&#34;H</p><p>Queen: 67&#34;W x 86&#34;D x 47&#34;H <br />Queen Headboard: 67&#34;W x 4.3&#34;D x 52&#34;H <br />Queen Footboard: 67&#34;W x 4.3&#34;D x 6.3&#34;H <br />Queen Rails: 82&#34;W x 3.15&#34;D x 6.3&#34;H <br />Queen Slats: 80&#34;W x 60&#34;D</p><p>King: 82&#34;W x 86&#34;D x 47&#34;H <br />King Headboard: 82&#34;W x 4.3&#34;D x 48&#34;H <br />King Footboard: 82&#34;W x 4.3&#34;D x 6.3&#34;H <br />King Rails: 82&#34;W x 3.15&#34;D x 6.3&#34;H <br />King Slats: 80&#34;W x 76&#34;D</p></p>",TOV Furniture TOV-B55B-C-250-KG Amherst Beige Linen King Bed,Enabled,Not Visible Individually,None,simple,Default,TOV Furniture,100,88,/TOV-B55B-C-250-KG.jpg,/TOV-B55B-C-250-KG.jpg,/TOV-B55B-C-250-KG.jpg,TOV Furniture TOV-B55B-C-250-KG Amherst Beige Linen King Bed,1,0,Block after Info Column,1,,0,,King,,size
admin,base,TOV-TOV-B55B-C-250-QN,TOV-B55B-C-250-QN,TOV Furniture Amherst Beige Linen Queen Bed,642.93,1195,,124.3,,,Furniture/Bedroom Furniture/Beds,,/TOV-B55B-C-250-QN.jpg,,,Overall: 67&#34;W x 86&#34;D x 47&#34;H <br /> Headboard: 67&#34;W x 4.3&#34;D x 52&#34;H <br /> Footboard: 67&#34;W x 4.3&#34;D x 6.3&#34;H <br /> Rails: 82&#34;W x 3.15&#34;D x 6.3&#34;H <br /> Slats: 80&#34;W x 60&#34;D,TOV Furniture TOV-B55B-C-250-QN Amherst Beige Linen Queen Bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Linen,,10 Business Days,7.52423E+11,TOV Furniture TOV-B55B-C-250-QN Amherst Beige Linen Queen Bed,TOV Furniture TOV-B55B-C-250-QN Amherst Beige Linen Queen Bed,TOV Furniture TOV-B55B-C-250-QN Amherst Beige Linen Queen Bed,"<p>With a sophisticated design that is both refined and relaxed, this platform bed will help turn your bedroom into the peaceful retreat it should be. From the beautiful beige fabric to the tall, curved headboard with silvertone nail head accents, sweet dreams will come quickly and effortlessly. The bed is constructed with a wooden outer frame, foam padding, and black wooden legs with non-marking feet. Slats are included with a black-coated steel frame - a box spring is not needed.</p><p>Leg Material: Birch</p><p>Hand-applied silver nail head trim</p><p>Beige linen blend upholstery</p><p>Contemporary design</p><p>Black stained legs</p><p>Bed available in Full, Queen and King</p><p>No box spring required</p><p>Assembly required</p><p>Can be used for commercial or residential use</p><p>One year manufacturer&#39;s warranty</p><p><p>Full: 60.63&#34;W x 81.1&#34;D x 47&#34;H</p><p>Queen: 67&#34;W x 86&#34;D x 47&#34;H <br />Queen Headboard: 67&#34;W x 4.3&#34;D x 52&#34;H <br />Queen Footboard: 67&#34;W x 4.3&#34;D x 6.3&#34;H <br />Queen Rails: 82&#34;W x 3.15&#34;D x 6.3&#34;H <br />Queen Slats: 80&#34;W x 60&#34;D</p><p>King: 82&#34;W x 86&#34;D x 47&#34;H <br />King Headboard: 82&#34;W x 4.3&#34;D x 48&#34;H <br />King Footboard: 82&#34;W x 4.3&#34;D x 6.3&#34;H <br />King Rails: 82&#34;W x 3.15&#34;D x 6.3&#34;H <br />King Slats: 80&#34;W x 76&#34;D</p></p>",TOV Furniture TOV-B55B-C-250-QN Amherst Beige Linen Queen Bed,Enabled,Not Visible Individually,None,simple,Default,TOV Furniture,100,88,/TOV-B55B-C-250-QN.jpg,/TOV-B55B-C-250-QN.jpg,/TOV-B55B-C-250-QN.jpg,TOV Furniture TOV-B55B-C-250-QN Amherst Beige Linen Queen Bed,1,0,Block after Info Column,1,,0,,Queen,,size
admin,base,TOV-TOV-S21S,TOV-S21S,TOV Furniture Bryn Grey Velvet Sofa,1177,2800,,110,,,Furniture/Living Room Furniture/Sofas & Loveseats/Sofas,Grey,/TOV-S21S.jpg,,,85.04&#34;W x 34.25&#34;D x 37.2&#34;H,TOV Furniture TOV-S21S Bryn Grey Velvet Sofa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Velvet,,10 Business Days,7.52423E+11,TOV Furniture TOV-S21S Bryn Grey Velvet Sofa,TOV Furniture TOV-S21S Bryn Grey Velvet Sofa,TOV Furniture TOV-S21S Bryn Grey Velvet Sofa,"<p>Two words sum up our Bryn velvet sofa: Modern marvel! This sofa is handcrafted for perfection with over 1,000 hand-applied nail heads. Covered in a soft velvet upholstery and perched on solid wood, rustic white legs, with expertly crafted tufts on the sides and back. This exquisite sofa will quickly become the focal point of any room!</p><p>Seat Dimensions: 71.5&#34; W x 25.6&#34; D x 22.95&#34; H, Arm Height: 37.2&#34;</p><p>Leg Material: Birch</p><p>Handcrafted for perfection</p><p>Over 1,000 hand-applied nail silver heads</p><p>Solid wood frame</p><p>Back and outer arms have a stunning tufted design</p><p>8 Birch wood legs offer strong support</p><p>High density foam cushions</p><p>Removable seat cushion</p><p>Kiln dried wood</p><p>Spot clean only</p><p>Fabric swatch available</p><p>One year manufacturer&#39;s warranty</p>",TOV Furniture TOV-S21S Bryn Grey Velvet Sofa,Enabled,"Catalog, Search",None,simple,Default,TOV Furniture,100,88,/TOV-S21S.jpg,/TOV-S21S.jpg,/TOV-S21S.jpg,TOV Furniture TOV-S21S Bryn Grey Velvet Sofa,1,0,Block after Info Column,1,,0,,,,
admin,base,TOV-TOV-63801-2-Beige,TOV-63801-2-Beige,TOV Furniture Camden Beige Linen Loveseat,602.1,1549,,101,,,Furniture/Living Room Furniture/Sofas & Loveseats/Loveseats,,/TOV-63801-2-Beige.jpg,,,64.6&#39;&#39;W x 37.4&#39;&#39;D x 34.6&#39;&#39;H,TOV Furniture TOV-63801-2-Beige Camden Beige Linen Loveseat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mixed Linen,,10 Business Days,7.52423E+11,TOV Furniture TOV-63801-2-Beige Camden Beige Linen Loveseat,TOV Furniture TOV-63801-2-Beige Camden Beige Linen Loveseat,TOV Furniture TOV-63801-2-Beige Camden Beige Linen Loveseat,"<p>Traditional comfort meets modern style. The Camden loveseat was designed to optimize comfort: a high backrest, comfortable cushioning and suitable seat height maximize relaxation. A solid birch frame, foam cushioning and beige linen upholstery set the stage for contemporary style. Featuring bronze hand-applied nail heads and black wooden legs with non-marking feet. All cushions are removable and repositionable for utmost comfort.</p><p>Seat Dimensions: 51.2&#34; W x 23&#34; D x 19.95&#34; H</p><p>Leg Material: Birch</p><p>Hand-applied copper nail head trim</p><p>Beige linen blend upholstery</p><p>Includes 2 matching pillows</p><p>Removable seat and back cushions</p><p>Stylish design</p><p>Black stained legs</p><p>Kiln dried wood</p><p>Spot clean only</p><p>Polyurethane foam cushioning is CA117 fire retardant</p><p>Can be used for commercial or residential use</p><p>Fabric swatch available</p><p>One year manufacturer&#39;s warranty</p>",TOV Furniture TOV-63801-2-Beige Camden Beige Linen Loveseat,Enabled,Not Visible Individually,None,simple,Default,TOV Furniture,100,88,/TOV-63801-2-Beige.jpg,/TOV-63801-2-Beige.jpg,/TOV-63801-2-Beige.jpg,TOV Furniture TOV-63801-2-Beige Camden Beige Linen Loveseat,1,0,Block after Info Column,1,,0,Beige,,,color1
admin,base,TOV-TOV-63802-3-Beige,TOV-63802-3-Beige,TOV Furniture Camden Beige Linen Sofa,896,1695,,123.5,,,Furniture/Living Room Furniture/Sofas & Loveseats/Sofas,,/TOV-63802-3-Beige.jpg,,,90.6&#39;&#39;W x 37.4&#39;&#39;D x 34.6&#39;&#39;H,TOV Furniture TOV-63802-3-Beige Camden Beige Linen Sofa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mixed Linen,,10 Business Days,7.52423E+11,TOV Furniture TOV-63802-3-Beige Camden Beige Linen Sofa,TOV Furniture TOV-63802-3-Beige Camden Beige Linen Sofa,TOV Furniture TOV-63802-3-Beige Camden Beige Linen Sofa,"<p>Traditional comfort meets modern style. The Camden sofa was designed to optimize comfort: a high backrest, comfortable cushioning and suitable seat height maximize relaxation. A solid birch frame, foam cushioning and beige linen upholstery set the stage for contemporary style. Featuring bronze hand-applied nail heads and black wooden legs with non-marking feet. All cushions are removable and repositionable for utmost comfort.</p><p>Seat Dimensions: 80&#34; W x 23&#34; D x 19.95&#34; H</p><p>Leg Material: Birch</p><p>Hand-applied copper nail head trim</p><p>Beige linen blend upholstery</p><p>Includes 2 matching pillows</p><p>Removable seat and back cushions</p><p>Stylish design</p><p>Black stained legs</p><p>Kiln dried wood</p><p>Spot clean only</p><p>Polyurethane foam cushioning is CA117 fire retardant</p><p>Can be used for commercial or residential use</p><p>Fabric swatch available</p><p>One year manufacturer&#39;s warranty</p>",TOV Furniture TOV-63802-3-Beige Camden Beige Linen Sofa,Enabled,Not Visible Individually,None,simple,Default,TOV Furniture,100,88,/TOV-63802-3-Beige.jpg,/TOV-63802-3-Beige.jpg,/TOV-63802-3-Beige.jpg,TOV Furniture TOV-63802-3-Beige Camden Beige Linen Sofa,1,0,Block after Info Column,1,,0,Beige,,,color1
admin,base,TOV-TOV-63801-2-Grey,TOV-63801-2-Grey,TOV Furniture Camden Grey Linen Loveseat,611.31,1549,,101,,,Furniture/Living Room Furniture/Sofas & Loveseats/Loveseats,,/TOV-63801-2-Grey.jpg,,,64.6&#39;&#39;W x 37.4&#39;&#39;D x 34.6&#39;&#39;H,TOV Furniture TOV-63801-2-Grey Camden Grey Linen Loveseat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mixed Linen,,10 Business Days,7.52423E+11,TOV Furniture TOV-63801-2-Grey Camden Grey Linen Loveseat,TOV Furniture TOV-63801-2-Grey Camden Grey Linen Loveseat,TOV Furniture TOV-63801-2-Grey Camden Grey Linen Loveseat,"<p>Traditional comfort meets modern style. The Camden loveseat was designed to optimize comfort: a high backrest, comfortable cushioning and suitable seat height maximize relaxation. A solid birch frame, foam cushioning and beige linen upholstery set the stage for contemporary style. Featuring bronze hand-applied nail heads and black wooden legs with non-marking feet. All cushions are removable and repositionable for utmost comfort.</p><p>Seat Dimensions: 51.2&#34; W x 23&#34; D x 19.95&#34; H</p><p>Leg Material: Birch</p><p>Hand-applied silver nail head trim</p><p>Grey linen blend upholstery</p><p>Includes 2 matching pillows</p><p>Removable seat and back cushions</p><p>Stylish design</p><p>Black stained legs</p><p>Kiln dried wood</p><p>Spot clean only</p><p>Polyurethane foam cushioning is CA117 fire retardant</p><p>Can be used for commercial or residential use</p><p>Fabric swatch available</p><p>One year manufacturer&#39;s warranty</p>",TOV Furniture TOV-63801-2-Grey Camden Grey Linen Loveseat,Enabled,Not Visible Individually,None,simple,Default,TOV Furniture,100,88,/TOV-63801-2-Grey.jpg,/TOV-63801-2-Grey.jpg,/TOV-63801-2-Grey.jpg,TOV Furniture TOV-63801-2-Grey Camden Grey Linen Loveseat,1,0,Block after Info Column,1,,0,Grey,,,color1
admin,base,TOV-TOV-63802-3-Grey,TOV-63802-3-Grey,TOV Furniture Camden Grey Linen Sofa,683.97,1695,,123.5,,,Furniture/Living Room Furniture/Sofas & Loveseats/Sofas,,/TOV-63802-3-Grey.jpg,,,90.6&#39;&#39;W x 37.4&#39;&#39;D x 34.6&#39;&#39;H,TOV Furniture TOV-63802-3-Grey Camden Grey Linen Sofa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mixed Linen,,10 Business Days,7.52423E+11,TOV Furniture TOV-63802-3-Grey Camden Grey Linen Sofa,TOV Furniture TOV-63802-3-Grey Camden Grey Linen Sofa,TOV Furniture TOV-63802-3-Grey Camden Grey Linen Sofa,"<p>Traditional comfort meets modern style. The Camden sofa was designed to optimize comfort: a high backrest, comfortable cushioning and suitable seat height maximize relaxation. A solid birch frame, foam cushioning and beige linen upholstery set the stage for contemporary style. Featuring bronze hand-applied nail heads and black wooden legs with non-marking feet. All cushions are removable and repositionable for utmost comfort.</p><p>Seat Dimensions: 80&#34; W x 23&#34; D x 19.95&#34; H</p><p>Leg Material: Birch</p><p>Hand-applied silver nail head trim</p><p>Grey linen blend upholstery</p><p>Includes 2 matching pillows</p><p>Removable seat and back cushions</p><p>Stylish design</p><p>Black stained legs</p><p>Kiln dried wood</p><p>Spot clean only</p><p>Polyurethane foam cushioning is CA117 fire retardant</p><p>Can be used for commercial or residential use</p><p>Fabric swatch available</p><p>One year manufacturer&#39;s warranty</p>",TOV Furniture TOV-63802-3-Grey Camden Grey Linen Sofa,Enabled,Not Visible Individually,None,simple,Default,TOV Furniture,100,88,/TOV-63802-3-Grey.jpg,/TOV-63802-3-Grey.jpg,/TOV-63802-3-Grey.jpg,TOV Furniture TOV-63802-3-Grey Camden Grey Linen Sofa,1,0,Block after Info Column,1,,0,Grey,,,color1
admin,base,TOV-TOV-A42L7,TOV-A42L7,TOV Furniture Carlyle Desert Grey Leather Chair,477,795,,36.9,,,Furniture/Living Room Furniture/Accent Chairs,,/TOV-A42L7.jpg,,,29&#34;W x 32.9&#34;D x 36.25&#34;H,TOV Furniture TOV-A42L7 Carlyle Desert Grey Leather Chair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bonded Leather,,10 Business Days,7.52423E+11,TOV Furniture TOV-A42L7 Carlyle Desert Grey Leather Chair,TOV Furniture TOV-A42L7 Carlyle Desert Grey Leather Chair,TOV Furniture TOV-A42L7 Carlyle Desert Grey Leather Chair,"<p>A magnificent design, the Carlyle Chair astounds all who observe its curved arms and sharp look. Enveloped in a smooth leather, it is available in Indigo and Desert Grey colors which only enhance this chairs fashionable appeal.</p><p>Seat Dimensions: 20.1 W x 23.65 D x 18.5 H, Arm Height: 26</p><p>Leg Material: Birch</p><p>Handmade by skilled furniture craftsman</p><p>Graceful curved design</p><p>Wood frame</p><p>Removable seat cushion</p><p>Kiln dried wood</p><p>Fabric swatch available</p><p>One year manufacturer&#39;s warranty</p>",TOV Furniture TOV-A42L7 Carlyle Desert Grey Leather Chair,Enabled,Not Visible Individually,None,simple,Default,TOV Furniture,100,88,/TOV-A42L7.jpg,/TOV-A42L7.jpg,/TOV-A42L7.jpg,TOV Furniture TOV-A42L7 Carlyle Desert Grey Leather Chair,1,0,Block after Info Column,1,,0,Grey,,,color1
admin,base,TOV-TOV-A42L6,TOV-A42L6,TOV Furniture Carlyle Indigo Leather Chair,477,795,,36.9,,,Furniture/Living Room Furniture/Accent Chairs,,/TOV-A42L6.jpg,,,29&#34;W x 32.9&#34;D x 36.25&#34;H,TOV Furniture TOV-A42L6 Carlyle Indigo Leather Chair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bonded Leather,,10 Business Days,7.52423E+11,TOV Furniture TOV-A42L6 Carlyle Indigo Leather Chair,TOV Furniture TOV-A42L6 Carlyle Indigo Leather Chair,TOV Furniture TOV-A42L6 Carlyle Indigo Leather Chair,"<p>A magnificent design, the Carlyle Chair astounds all who observe its curved arms and sharp look. Enveloped in a smooth leather, it is available in Indigo and Desert Grey colors which only enhance this chairs fashionable appeal.</p><p>Seat Dimensions: 20.1 W x 23.65 D x 18.5 H, Arm Height: 26</p><p>Leg Material: Birch</p><p>Handmade by skilled furniture craftsman</p><p>Graceful curved design</p><p>Wood frame</p><p>Removable seat cushion</p><p>Kiln dried wood</p><p>Fabric swatch available</p><p>One year manufacturer&#39;s warranty</p>",TOV Furniture TOV-A42L6 Carlyle Indigo Leather Chair,Enabled,Not Visible Individually,None,simple,Default,TOV Furniture,100,88,/TOV-A42L6.jpg,/TOV-A42L6.jpg,/TOV-A42L6.jpg,TOV Furniture TOV-A42L6 Carlyle Indigo Leather Chair,1,0,Block after Info Column,1,,0,Indigo,,,color1
admin,base,TOV-TOV-CHE-CBL,TOV-CHE-CBL,TOV Furniture Chelsea Cream Leather Wing Chair,419.61,1050,,35.3,,,Furniture/Living Room Furniture/Accent Chairs,,/TOV-CHE-CBL.jpg,,,32.3&#34;W x 33.9&#34;D x 41.7&#34;H,TOV Furniture TOV-CHE-CBL Chelsea Cream Leather Wing Chair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bonded Leather,,10 Business Days,7.52423E+11,TOV Furniture TOV-CHE-CBL Chelsea Cream Leather Wing Chair,TOV Furniture TOV-CHE-CBL Chelsea Cream Leather Wing Chair,TOV Furniture TOV-CHE-CBL Chelsea Cream Leather Wing Chair,"<p>Inspired by its namesake, the posh New York neighborhood, the Chelsea chair combines the rare qualities of chic design and traditional comfort. The Chelsea Wing Chair is available in grey or cream bonded leather.</p><p>Seat Dimensions: 32.3&#34; W x 24.4&#34; D x 21.3&#34; H</p><p>Leg Material: Wood</p><p>Hand-applied silver nail head trim</p><p>Removable seat cushion</p><p>Includes pillow</p><p>Soft bonded leather</p><p>Available in grey and cream</p><p>Wooden legs</p><p>Polyurethane foam cushioning is CA117 fire retardant</p><p>Minor assembly required</p><p>May be used for commercial or residential use</p><p>Fabric swatch available</p><p>One year manufacturer&#39;s warranty</p>",TOV Furniture TOV-CHE-CBL Chelsea Cream Leather Wing Chair,Enabled,Not Visible Individually,None,simple,Default,TOV Furniture,100,88,/TOV-CHE-CBL.jpg,/TOV-CHE-CBL.jpg,/TOV-CHE-CBL.jpg,TOV Furniture TOV-CHE-CBL Chelsea Cream Leather Wing Chair,1,0,Block after Info Column,1,,0,Cream,,,color1
admin,base,TOV-TOV-CHE-GBL,TOV-CHE-GBL,TOV Furniture Chelsea Grey Leather Wing Chair,419.61,1050,,35.3,,,Furniture/Living Room Furniture/Accent Chairs,,/TOV-CHE-GBL.jpg,,,32.3&#34;W x 33.9&#34;D x 41.7&#34;H,TOV Furniture TOV-CHE-GBL Chelsea Grey Leather Wing Chair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bonded Leather,,10 Business Days,7.52423E+11,TOV Furniture TOV-CHE-GBL Chelsea Grey Leather Wing Chair,TOV Furniture TOV-CHE-GBL Chelsea Grey Leather Wing Chair,TOV Furniture TOV-CHE-GBL Chelsea Grey Leather Wing Chair,"<p>Inspired by its namesake, the posh New York neighborhood, the Chelsea chair combines the rare qualities of chic design and traditional comfort. The Chelsea Wing Chair is available in grey or cream bonded leather.</p><p>Seat Dimensions: 32.3&#34; W x 24.4&#34; D x 21.3&#34; H</p><p>Leg Material: Wood</p><p>Hand-applied silver nail head trim</p><p>Removable seat cushion</p><p>Includes pillow</p><p>Soft bonded leather</p><p>Available in grey and cream</p><p>Wooden legs</p><p>Polyurethane foam cushioning is CA117 fire retardant</p><p>Minor assembly required</p><p>May be used for commercial or residential use</p><p>Fabric swatch available</p><p>One year manufacturer&#39;s warranty</p>",TOV Furniture TOV-CHE-GBL Chelsea Grey Leather Wing Chair,Enabled,Not Visible Individually,None,simple,Default,TOV Furniture,100,88,/TOV-CHE-GBL.jpg,/TOV-CHE-GBL.jpg,/TOV-CHE-GBL.jpg,TOV Furniture TOV-CHE-GBL Chelsea Grey Leather Wing Chair,1,0,Block after Info Column,1,,0,Grey,,,color1
admin,base,TOV-TOV-A38-B,TOV-A38-B,TOV Furniture Clyde Beige Linen Chair,396.99,649,,30.5,,,Furniture/Living Room Furniture/Accent Chairs,,/TOV-A38-B.jpg,,,26&#34;W x 28&#34;D x 31.5&#34;H,TOV Furniture TOV-A38-B Clyde Beige Linen Chair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mixed Linen,,10 Business Days,7.52423E+11,TOV Furniture TOV-A38-B Clyde Beige Linen Chair,TOV Furniture TOV-A38-B Clyde Beige Linen Chair,TOV Furniture TOV-A38-B Clyde Beige Linen Chair,"<p>Our Clyde chair has a clean Mid-Century aesthetic while the small scale button tufting adds a pop of personality. Perched on solid wood legs, this chair is a true classic and is a fashionable addition to living rooms, bedrooms and entryways.</p><p>Seat Dimensions: 18.5&#34; W x 21.3&#34; D x 18.9&#34; H, Arm Height: 23&#34;</p><p>Leg Material: Beech</p><p>Handcrafted for perfection</p><p>Solid beech wood frames</p><p>Button tufted back</p><p>Removable seat cushion</p><p>Ships assembled</p><p>Spot clean only</p><p>Brown conical stained legs</p><p>Foam cushioning is CA117 fire retardant</p><p>Fabric swatch available</p><p>One year manufacturer&#39;s warranty</p>",TOV Furniture TOV-A38-B Clyde Beige Linen Chair,Enabled,Not Visible Individually,None,simple,Default,TOV Furniture,100,88,/TOV-A38-B.jpg,/TOV-A38-B.jpg,/TOV-A38-B.jpg,TOV Furniture TOV-A38-B Clyde Beige Linen Chair,1,0,Block after Info Column,1,,0,Beige,,,color1
